,word,chinese
607,seismograph,n.地震仪，测震仪
608,zigzag,vi.曲折行进
609,sledding,n.坐雪橇，进展
610,drawback,n.缺点，弱点；不利条件
611,towering,adj.高耸的；杰出的
612,jewelry,n.〈总称〉首饰；珠宝
613,luminosity,n.亮度，发光度；光明
614,deduct,vt.扣除，减去；推论，演绎
615,inflate,v.（使）充气，膨胀；鼓吹，吹捧；（使）涨价
616,nominal,adj.名义上的；（费用等）微不足道的
617,spew,v.喷涌；射出；呕吐，呕出
618,mosaic,n.马赛克；镶嵌工艺
619,uncanny,adj.神秘的；异乎寻常的
620,consistency,n.浓度，密度；一致性，协调；连接，结合
621,artistic,adj.艺术的
622,attain,vt.达到；获得
623,decadent,adj.堕落的，颓废的
624,orbital,adj.轨道的
625,outrageously,adv.令人不能容忍地；肆无忌惮地
626,gorge,v.狼吞虎咽
627,fabricate,v.制造；编造；捏造；装配
628,quartz,n.石英
629,torpor,n.迟钝；死气沉沉
630,corpus,n.文集，文献，汇编；语料库
631,deprive,v.剥夺；免职（特指圣职）
632,residue,n.剩余物，残余物；（扣除税款、债款等后的）剩余遗产
633,elasticity,n.弹力；弹性
634,salon,n.沙龙；营业性的厅（或院等）；美容院，时装店；会客厅
635,clasp,v.握紧，抓紧；抱紧
636,manipulate,v.熟练地操作，使用；（暗中）控制，操纵
637,pitch,"n.沥青; 音高;  说教; 广告语; 宣传; 运动场地, 比赛场地; [感情或活动的]激烈, 强烈; 投球; [船或飞机的]颠簸; [屋顶的]斜度, 坡度"
638,depict,vt.描述; 描绘; 描写; 描画
639,discharge,v.允许离开（医院、军队）；排出，放出
640,anatomy,n.解剖（学）；解剖构造；剖析；身体
641,hybrid,adj.杂交产生的；混合的，合成的
642,yogurt,n.酸奶（酪）
643,outlaw,v.宣布…不合法；使…成为非法；剥夺（某人）法律权益
644,statue,"n.雕像, 塑像, 铸像"
645,automobile,n.汽车
646,casual,adj.漫不经心的，随便的；非正式的；临时的；碰巧的；不定期的，偶尔的
647,derivative,adj.派生的，引出的；无创意的
648,vice,"n.邪恶, 堕落; 缺点, 弱点; 恶习; 虎钳"
649,overact,v.把（角色）表演得过火；表现做作
650,journalism,n.新闻业，新闻工作
651,salamander,n.蝾螈
652,adversary,n.对手，敌手
653,electrolysis,n.电解作用；电解术
654,zest,n.趣味；热情，狂热
655,influenza,n.流行性感冒
656,constricted,adj.狭窄的；收缩的；抑制的，约束的
657,conform,v.顺从；遵从；随大流；一致
658,invalid,adj.（法律上）无效的，不合法的；（观点）站不住脚的
659,acting,adj.代理的
660,dominate,v.支配，统治，控制；俯视；占据优势
661,restoration,n.恢复；整修，修复；复位，复原；归还
662,soothe,vt.缓和，减轻；抚慰，安慰
663,accord,n.协议；条约
664,molten,adj.熔化的，熔融的
665,maize,n.玉米
666,legislate,v.制定法律；通过立法
667,rouse,vt.唤起，唤醒；激起，鼓舞；激怒
668,patriot,n.爱国者
669,notwithstanding,prep.虽然；尽管
670,intrude,vi.侵入，闯入；打扰，侵扰
671,constant,adj.经常的，不变的
672,protagonist,n.（戏剧、故事、小说中的）主角，主人公；领导者，倡导者
673,engraving,n.雕刻术，刻版术；版画
674,soak,v.浸泡，浸湿，浸透
675,ridge,n.脊；山脊，山脉；高压脊；隆起物
676,tragic,adj.悲剧的，悲惨的，可悲的
677,scholar,n.学者；奖学金获得者
678,moral,adj.道德（上）的，有道德的，精神的
679,flask,n.细颈瓶，烧瓶，小水瓶
680,rust,v.（使）生锈
681,tangent,n.切线；正切
682,statesman,n.政治家
683,testimony,n.证词；证据，证明
684,edible,adj.可食用的
685,deport,vt.驱逐出境
686,taut,adj.绷紧的；肌肉结实的；结构严谨的，紧凑的
687,haunt,v.（鬼魂）出没；（不快的事情）萦绕于脑际；长期不断地缠扰（某人）
688,rear,adj.后面的；后部的
689,shovel,n.铲；铲斗；一铲的量
690,interweave,v.交织，编结
691,arthritis,n.关节炎
692,abrasion,n.表面磨损
693,embark,v.上船（或飞机、汽车等）；开始从事
694,suction,n.吸，抽吸：吸力
695,superstitious,adj.迷信的，受迷信思想支配的
696,eject,v.逐出，赶出；弹出，弹射出；喷出
697,beam,n.光线，光束；射束；横梁；眉开眼笑
698,absorption,n.吸收；并入，同化；专心致志，全神贯注
699,topography,n.地形学；地形，地貌
700,sinuous,adj.蜿蜒的；迂回的
701,grasp,v.抓住，紧握；领会
702,collective,adj.集体的，共同的
703,varied,adj.各式各样的
704,split,vt.(过去式&过去分词:split)劈开; 切开; 撕裂; 分担; 分得; 使分裂; 使不团结; [化]分解; [核]使产生核裂变
705,tableland,n.高原，台地
706,breeze,n.微风，和风
707,pernicious,adj.有害的，恶性的
708,well-heeled,adj.富有的，有钱的
709,motto,n.座右铭；箴言，格言
710,puritanical,adj.清教徒式的；道德上非常拘谨的
711,monotony,n.单调，千篇一律
712,pose,n.姿势，姿态；装模作样
713,diction,n.发音；措辞，用语
714,circular,adj.圆形的，环形的；环行的，绕圈的；循环论证的；大量送发的
715,maglev,n.磁力悬浮火车
716,periphery,n.外围，边缘
717,poster,n.海报，招贴画；（在网络留言板上）发布消息的人
718,gulf,n.海湾；分歧，隔阂，鸿沟
719,myriad,n.无数；大量
720,rugged,adj.崎岖的，凹凸不平的；（生活）艰难的；粗犷的；结实的，耐用的；粗野的，不文雅的
721,wrap,v.（用纸、布等）包，裹；（用手、脚）围住
722,philosophy,n.哲学；哲学体系，思想体系；人生观，人生哲学
723,stipulate,v.规定，明确要求；（以…为条件）约定
724,pathetic,adj.可怜的，悲哀的；无用的，糟糕的；懦弱的
725,adhere,v.黏附，附着；坚守，遵守
726,maternal,adj.母亲的，母系的
727,dedicate,v.献出；题献词；致力于
728,crustal,adj.外壳的，（尤指）地壳的
729,durable,adj.持久的，耐用的
730,turmoil,n.骚动，混乱；焦虑
731,cohesion,n.凝聚（力）；团结
732,paddle,n.桨；桡足
733,disposal,n.处理; 解决; 清除; 去掉; 赠送; 转让; 出售; 排列; 布置
734,ruthless,adj.残酷无情的；残忍的
735,inflation,n.膨胀；通货膨胀；充气
736,numerous,adj.为数众多的，许多的
737,subjective,adj.主观的，个人的
738,potassium,n.钾
739,bronze,n.青铜；青铜色，青铜制品
740,degenerative,adj.衰退的，堕落的；（疾病等）变性的
741,susceptible,adj.敏感的; 过敏的; 易动感情的; 易受影响的; 可能有…的
742,besiege,vt.包围；使应接不暇
743,anchor,v.抛锚；使固定；（使）扎根，（使）基于；主持（电视、广播节目等）
744,concise,adj.简明的，简练的
745,amble,vi.缓行，漫步
746,anguish,n.极度痛苦
747,revere,vt.尊敬，敬畏
748,concentric,adj.同心的
749,timber,"n.木料; 林木; (人的)素质, 才干"
750,convention,n.惯例；习俗；会议；国际公约
751,transaction,n.交易，生意；处理，办理
752,compromise,"n.妥协, 互让了结; 和解(协议); 折中状态; 折中(办法)"
753,stem,n.茎，干，梗；词干；血统
754,overrun,v.超过，溢出；泛滥；横行
755,boost,vt.提高 推进；替…做广告，宣扬
756,acquisition,"n.(技能、习惯或品质的)习得, 培养; (一家公司对另一家公司的) 收购; 资产获得, 获得物"
757,soluble,adj.可溶的；可解决的
758,realm,n.领域，范围；王国，国度
759,grievous,adj.令人忧伤的；极严重的
760,afoul,adv.相抵触，有冲突
761,surmise,v.推测，猜测
762,imperial,adj.帝国的，帝王的；至尊的；专横的
763,heading,n.标题，题目，主题
764,malnutrition,n.营养不良
765,flake,n.小薄片，碎片；古怪的人
766,resolute,adj.坚决的；有决心的
767,annul,vt.宣布无效，取消，废除
768,somewhat,adv.稍微，有点
769,shortage,n.不足，缺少，短缺
770,segment,n.段；部分；片；弓形
771,radiate,v.（光、热等）辐射，发射；流露，显示；自中心向各方伸展
772,exalted,adj.崇高的，高贵的，显赫的
773,indecipherable,adj.无法破译的；难以领悟的
774,trial,"n. [法]审讯, 审判; 试验; 试用; 磨难, 考验; 尝试, 努力; [体]选拔赛"
775,receptacle,n.容器；插座
776,racing,adj.比赛的
777,wax,v.给…打蜡；（月亮）渐满
778,blaze,n.火焰，烈火；（感情的）迸发
779,bequeath,vt.遗赠；流传
780,empiricism,n.经验论，经验主义
781,repel,v.使恐惧；使厌恶；击退，驱逐；排斥；相斥
782,pointed,adj.尖的，尖角的；尖锐的，尖刻的
783,rustic,adj.乡村的；淳朴的；用粗糙木材制作的
784,partial,adj.部分的；偏袒的，偏爱的
785,strike,"vt.击, 打; 击中; 撞击; (疾病等)侵袭; 进攻; 使突然想起; 给…以印象; 使受吸引; (光)照到…上; 擦(火柴); 偶然发现; 达成; 达到; (钟等)敲响报时; 罢工; 摆出…姿态; 删除, 划掉; 铸造; 开采出"
786,thrust,v.猛推；挤；插；戳，刺
787,lore,n.学问学识；传说，传统
788,subversive,adj.颠覆性的，破坏性的
789,brisk,adj.（天气）清新的；敏捷的，活泼的
790,arboreal,adj.树栖的；树木的
791,intentional,"adj.故意的, 有意的, 存心的"
792,asset,n.资产，财产；有价值的人（或物）；长处，优点
793,asteroid,n.小行星
794,fracture,n.骨折，断裂；破裂
795,enactment,n.（法律、法案、法令等的）制订，颁布；法律，法规
796,obstruct,vt.妨碍，阻挠；阻塞
797,preserve,v.保护；保持，保存；保养；保鲜；腌制
798,quotation,n.引语，语录；报价
799,oyster,n.牡蛎，蚝
800,symphony,n.交响乐；交响曲
801,idiom,n.习惯用语；术语；（在艺术上所表现的）风格，特色
802,diminution,n.减少（量），缩减（量）
803,pivot,n.枢轴；中心点；核心
804,recessive,adj.隐性的
805,ailment,n.小病
806,execute,v.处决；执行，实行；完成
807,linger,v.停留，逗留；徘徊；继续存留；缓慢消失
808,sidebar,n.补充报道
809,simile,n.明喻
810,vibrate,v.（使）颤动，（使）振动
811,align,v.（使）结盟；排整齐；校准；使一致
812,magnesium,n.镁
813,entitle,v.给予…权利；给…命名
814,groom,v.（给动物）刷洗；（给…）梳理毛友；培养，训练
815,brag,v.吹嘘，自夸，自吹自擂
816,breed,n.品种; 类型
817,deter,v.威慑，阻止
818,validate,vt.使有效，使生效；证实
819,ardent,adj.热心的，热情洋溢的；强烈的
820,eviscerate,vt.取出内脏；除去主要部分
821,vague,adj.模糊的，不明确的；含糊其词的
822,incessantly,adv.不断地
823,anarchist,n.无政府主义者
824,turnpike,n.收费公路
825,debris,n.岩屑；残骸；碎屑
826,verbal,adj.口头的；言辞的；动词的
827,disastrous,adj.灾难性的，糟糕透顶的
828,eliminate,v.排除，剔除；消除
829,grill,vt.烧烤；拷问，盘问
830,relieve,v.减轻，缓和；使解脱；接替，换班
831,slope,n.斜坡，斜面；斜度
832,legislative,n.立法机关
833,bare,adj.赤裸的；光秃秃的
834,pathology,n.反常，变态；病理学；病状
835,shrewd,adj.敏捷的，机灵的；精明的
836,linen,"adj.亚麻(布)制的, 亚麻色的"
837,prophet,n.预言者；（宗教里的）先知；提倡者
838,cognition,n.感知，认知，认识
839,blend,v.混合；融合
840,venomous,adj.有毒的，分泌毒液的；恶意的，狠毒的
841,babble,v.胡言乱语；含糊不清地说；喋喋不休
842,consensus,n.共识，一致同意；舆论
843,rationality,n.理性；合理性
844,crown,n.王冠；花冠
845,digitize,vt.数字化
846,intelligible,adj.聪明的，理智的；易懂的，易理解的
847,fragrant,adj.香的；芳香的
848,spice,n.调味料，香料；调剂品；额外的趣味
849,colonial,adj.殖民的；殖民国家的
850,abbreviate,vt.缩略，缩写
851,somber,adj.昏暗的；忧郁的
852,concord,n.和睦；公约
853,unearth,vt.掘出，发掘；揭露
854,snack,n.小吃，点心
855,oak,n.橡树，橡木
856,whim,n.一时的兴致，冲动；怪念头，奇想
857,lessen,v.减少，变小，减轻
858,noteworthy,adj.显著的，值得注目的
859,sphere,"n.范围, 领域; (社会)阶层; (社会)地位; 球体, 球面; 天体; 地球仪; 苍穹"
860,exponent,n.解释者；倡导者，拥护者；指数，幂
861,redeem,vt.赎回；偿清，付清；兑换；弥补，补偿；履行，遵守（诺言）
862,cement,"n.水泥; 胶合剂, 胶接剂; 起巩固作用的纽带"
863,dull,adj.乏味的，单调的；迟钝的；（色彩等）无光泽的；萧条的；阴沉的，昏暗的
864,fibrous,adj.含纤维的；纤维状的
865,delay,n.耽搁，推迟
866,bilateral,adj.有两边的；双边的
867,craftsman,n.能工巧匠，手艺人，工艺师
868,weird,adj.怪异的，神秘的
869,suspicious,adj.感到怀疑的；令人怀疑的；不信任的；持怀疑态度的
870,stampede,v.（使）狂奔，涌向；使仓促行事
871,uneven,adj.不平均的；不平坦的；不规则的；（指竞争、比赛等）不势均力敌的；不公平的
872,subsistence,n.生存，生计
873,exodus,n.大批离去，成群外出
874,obliterate,vt.覆盖；消灭；忘却
875,anomalous,adj.异常的；不规则的
876,latitude,n.纬度；［常复数］纬度地区；选择（做什么事或做事方式）的自由
877,fitness,n.健壮，健康；适合
878,eschew,vt.避开，戒除，回避
879,lofty,adj.巍峨的，高耸的；崇高的，高尚的；傲慢的
880,carbohydrate,n.碳水化合物
881,clip,v.剪辑；修剪；削减；夹住
882,undertaking,n.重大或艰巨的任务，事业；企业；承诺；保证，许诺
883,livestock,n.〈总称〉家畜，牲畜
884,nauseous,adj.恶心的；令人作呕的，令人厌恶的
885,owl,n.猫头鹰
886,anecdotal,adj.轶话的，逸闻趣事的
887,culminate,vi.达到顶点；（以某种结果）告终；
888,acoustic,adj.非电声乐器的，原声的；听觉的，声音的
889,focal,adj.焦点的；很重要的
890,biannual,adj.一年两次的
891,vaporize,v.（使）蒸发，（使）汽化
892,gymnasium,n.体育馆；健身房
893,prevailing,adj.普遍的；流行的；（指风）一地常刮的，盛行的
894,tedium,n.单调，乏味
895,extensive,adj.广阔的；广泛的，全面的；大量的
896,prolong,v.延长
897,curtail,vt.缩短，缩减，削减（经费等）
898,tout,v.吹捧；兜售
899,conserve,vt.保存，保藏
900,hypertext,n.超文本
901,thrifty,adj.节俭的，节约的
902,malicious,adj.怀有恶意的，恶毒的
903,pit,"n.洞, 坑, 矿井, 麻子, 深渊, 绝境, (桃、杏、枣等)核, 正厅后座"
904,stagnant,adj.不景气的；停滞的；迟钝的；因不流动而污浊的
905,comparable,"adj.可比作…的; 相似的, 类似的; 相当的; 比得上的, 可相比的"
906,stardom,n.明星的身份（或地位）
907,affable,adj.和蔼可亲的，易于交谈的，友善的
908,coordinate,v.协调，整合； 使一致
909,agile,adj.敏捷的，灵活的
910,evoke,vt.唤起，引起，激起
911,placid,adj.平静的，安静的；（指人、性情等）温和的，文静的
912,induce,vt.诱使，引诱；引起，导致；催生
913,afloat,adj.漂浮的；有偿债能力的，能维持下去的
914,conservationist,n.自然环境保护论者
915,subsidiary,adj.辅助的；次要的；附属的；隶属的
916,mantle,n.覆盖物；披风，斗篷；（煤气灯）纱罩；【地】地幔
917,versus,prep.对；与…相对；对抗
918,rim,n.（圆形物体的）边沿；轮圈
919,rudimentary,adj.未充分发展的，原始的；基本的，基础的
920,adorn,vt.装饰，装扮
921,swap,v.交换，掉换
922,microwave,n.微波；微波炉
923,stout,adj.肥胖的，肥壮的；顽强的，不屈不挠的
924,aboriginal,adj.（人、生物等）原始的；土著的，土生土长的
925,octopus,n.章鱼
926,hull,n.（果实等的）外壳；船身，船体
927,cafeteria,n.自助餐厅，自助食堂
928,genetics,n.遗传学
929,idle,adj.懈怠的; 懒惰的; 闲置的; 没有工作的; 无效的; 无用的; (时间)空闲的
930,regiment,n.（军队的）团；一大群人（或事物）
931,rigorous,adj.谨慎的，细致的；严格的，严厉的
932,consonant,adj.和谐的，协调的，符合的
933,puppet,n.木偶；玩偶；傀儡，受人操纵的人（或集团）
934,bead,n.珠子；（液体）小滴、小珠
935,shipwright,n.造船者，造船工人；修船工
936,resilience,n.弹力，弹性；复原力；适应力
937,census,n.人口普查，人口统计
938,saturate,vt.使湿透；使饱和
939,pensive,adj.沉思的；忧虑的
940,captive,n.俘虏；猎获物；囚徒
941,fortify,vt.支持，给…以勇气；加强，增强；筑防御工事于
942,retract,v.收回，撤销；缩回
943,prompt,adj.迅速的，立刻的；敏捷的
944,seismic,adj.地震的，地震引起的；影响深远的，重大的
945,verbalize,v.用言语（或文字）表达
946,lengthen,v.（使）变长
947,agitate,v.鼓动，煽动；激怒，使激动，使不安；搅动（液体等）
948,vigilance,n.警戒，警惕
949,defect,n.缺点，缺陷
950,neoclassical,adj.新古典主义的
951,influx,n.注入，涌入
952,ambiguity,n.模棱两可的话；歧义（现象）
953,affirm,v.肯定属实；申明；断言
954,franchise,n.特权，特许；特许经销权；（公民）选举权
955,subsidy,n.补助金，津贴
956,wary,adj.小心翼翼的，留神的，警惕的
957,spear,v.刺，戳
958,recoup,vt.收回（成本），弥补（亏损）
959,ecological,adj.生态（学）的
960,optic,adj.眼的；视觉的；光学上的
961,aesthetic,adj.审美的，美学的；美的，艺术的
962,spiral,n.螺旋形
963,depot,n.库房，仓库；公共汽车站，火车站
964,publicize,vt.宣传，推广，宣扬
965,perpendicular,n.垂直线，垂直的位置
966,congressional,adj.立法机构的；代表大会的；国会的
967,aggregate,vt.聚集；总计
968,morale,n.士气，斗志
969,electrode,n.电极
970,enclose,v.围绕，包围；把…放入信封
971,cannibalism,n.嗜食同类
972,bundle,n.捆，束
973,emblem,n.徽章；标记，象征
974,buoyant,adj.有浮力的，漂浮的；轻快的，快乐的；繁荣的；（价格等）趋于上涨的
975,identical,adj.相同的，同样的
976,tariff,n.关税；（旅馆、饭店等的）价目表，收费表
977,conspiracy,n.密谋；阴谋
978,spinning,adj.旋转的
979,recess,n.休会期；休庭；暂停；凹室，壁龛
980,inanimate,adj.无生命的；无生气的
981,legislature,n.立法机关，立法团体
982,idyllic,adj.田园诗般的，田园风光的，牧歌的
983,amplify,vt.放大（声音等）；增强；详述，充实（陈述等）
984,igneous,adj.火的，似火的；火成的，火成岩的
985,shortly,adv.立刻，马上；没好气地，不耐烦地
986,specialize,v.专门从事；专门经营；专门研究；专攻
987,bellows,n.风箱
988,flank,n.侧面;（动物的）胁腹；（军队等的）侧翼
989,erect,adj.垂直的，竖直的，直立的
990,brass,n.铜管乐器；黄铜（器）
991,trance,n.恍惚；昏睡状态
992,contemporary,adj.当代的；同时代的
993,tenant,n.房客，承租人
994,stake,n.股份; 桩; 赌注; 火刑柱; 利害关系
995,hover,v.盘旋；彷徨；徘徊，守在近处
996,porous,adj.有孔的，多孔的；能渗透的
997,linguistic,adj.语言的，语言学的
998,virtuous,adj.有道德的，品行端正的，品德高的；〈贬〉自命清高的，自以为是的
999,render,v.致使，造成；给予，提供；表达；翻译；秘密偷渡
1000,crest,n.顶峰，顶点；浪尖；羽冠
1001,amenable,adj.顺从的，服从劝导的，有服从义务的
1002,frigid,adj.寒冷的；冷淡的
1003,translation,n.翻译；译文，译本
1004,embody,v.具体表现，体现；代表；包括；收录
1005,instantaneous,adj.瞬间的，即刻的，立即的
1006,onslaught,n.冲击；攻击，猛攻
1007,associative,adj.联想的；结合的；关联的
1008,peculiar,adj.奇怪的，古怪的；特殊的，独特的
1009,flourish,"v.茂盛; 繁荣; 兴旺; 成功; 处于旺盛时期; (人)健壮有力; 炫耀, 夸耀; 挥舞, 挥动; 手舞足蹈"
1010,salient,adj.显著的，突出的
1011,futile,adj.无效的，无用的，无意义的；琐细的；（人）没出息的
1012,inflammation,n.炎症，发炎
1013,ramble,n.漫步，散步；杂乱无章的长篇大论
1014,prize,vt.珍视
1015,rupture,v.（使）破裂；（关系）决裂，断绝
1016,animate,vt.赋予生命，使有活力
1017,convict,vt.定罪，宣告…有罪
1018,overtime,adv.加班
1019,homage,n.尊敬，敬意
1020,dawn,n.破晓，黎明；开始，发端
1021,limestone,n.石灰岩
1022,ponderous,adj.笨重的；笨拙的；沉闷的
1023,optimize,vt.使最优化；充分利用
1024,alike,adv.一样地，相似地；同样程度地
1025,secular,"adj.现世的, 世俗的, 非宗教的, 教区的, 延续几个世纪的, 长期的"
1026,organism,n.生物体，有机体
1027,militant,adj.好战的，好暴力的
1028,alienate,vt.使疏远，使不友好；转让，让渡（财产等）
1029,captivity,n.囚禁，拘留
1030,economical,adj.经济的，实惠的；节俭的，节约的；精打细算的
1031,opposed,adj.反对的；截然不同的
1032,eternal,adj.不朽的，永恒的；无休止的
1033,gallop,v.飞奔，疾驰
1034,embrace,v.欣然接受；拥抱；包含
1035,patriarchy,n.父权制，父系社会，家长统治
1036,recede,vi.退，后退；渐渐远去；逐渐减弱
1037,closet,n.储藏室；壁橱
1038,inhibit,vt.阻碍，抑制
1039,extol,vt.赞美，颂扬
1040,fray,vi.磨损，磨破；（使）烦躁，恼火
1041,chafe,v.擦破，擦痛；（因受限制而）恼怒，焦躁
1042,indignant,adj.愤慨的，恼怒的
1043,usher,n.领座员，招待员
1044,allergy,n.过敏性反应
1045,figurative,adj.比喻的，借喻的，象征的；形象的
1046,aroma,n.芳香，香味；气氛，氛围
1047,righteous,adj.正直的，公正的；正义的，正当的
1048,conceal,v.隐藏，掩盖
1049,rampant,adj.猖獗的，肆虐的；蔓生的
1050,tinker,vi.做焊锅匠；做拙劣修补
1051,disproportionate,adj.不成比例的；太大（或太小）的
1052,meteorological,adj.气象学的；气象的
1053,exempt,adj.被免除的，被豁免的
1054,mannerism,n.怪癖，癖性；（绘画、写作等中）过分的独特风格
1055,rhyme,v.（使）押韵；和…同韵
1056,faction,n.（大团体中的）派系，派别，小集团；派系斗争，内讧
1057,pedagogy,n.教育学，教学法
1058,blurt,vt.脱口而出
1059,scatter,v.撒播; 使分散; 驱散; 消散; 分散; 零星出现(或发生); 散射
1060,confiscate,vt.没收，充公，征用
1061,crawl,v.缓慢行进；爬行
1062,pact,n.协议，条约，公约
1063,cohesive,adj.黏着的；使凝结的，使内聚的
1064,acquaint,v.使熟悉；使了解
1065,externality,n.外部性，外界效应
1066,strain,v.扭伤，劳损；竭尽全力；拉紧
1067,respondent,n.回答者，响应者；调查对象；被告
1068,enlighten,v.指导；启发，启蒙
1069,prohibitive,adj.（价格）高得负担不起的，贵得使人望而却步的；（规定）禁止性的，起阻止作用的
1070,textile,n.织物；纺织品；纺织业
1071,sticky,adj.黏的，黏性的；（天气）闷热的；棘手的
1072,condole,vi.向…吊唁；慰问
1073,bleach,v.（使）变白，漂白；褪色
1074,mortality,n.死亡率
1075,insistence,n.坚持，坚决主张
1076,refraction,n.折射
1077,rally,n.群众大会；拉力赛车
1078,apprise,vt.通知，告诉；评价
1079,hydrogen,n.氢
1080,nail,n.指甲，爪；钉
1081,kinetic,adj.运动的；运动引起的；动力学的
1082,feasible,"adj.可行的, 行得通的; 合理的; 可用的, 适宜的"
1083,lichen,n.青苔，地衣
1084,ageism,n.年龄歧视
1085,dissuade,vt.劝阻，阻止
1086,arable,adj.可耕作的，适于耕作的
1087,ravage,vt.毁坏；（尤指军队等）抢劫，掠夺
1088,solitude,n.孤独，单独；独处，独居；隐居处
1089,amass,vt.积聚
1090,utensil,n.器具，用具
1091,enrollment,n.登记（人数），注册（人数）；入学
1092,untamed,adj.未驯服的，难驾驭的
1093,blunt,adj.钝的；不敏感的；直率的
1094,hemisphere,n.（尤指地球的）半球；大脑半球
1095,dormancy,n.休眠；催眠状态；隐匿
1096,fidelity,n.忠诚，忠实；精确，逼真
1097,imagist,adj.意象派的
1098,domestic,adj.国内的；家庭的；驯养的
1099,coverage,n.新闻报道; 保险范围; (书、节目、课程等的)内容范围; 信息范围; 覆盖; 覆盖范围(或方式)
1100,oval,adj.椭圆形的；卵形的
1101,motor,adj.机动的；肌肉运动的
1102,calamitous,adj.灾难性的
1103,stiffen,v.（使）变僵硬；（使）变坚定，变强硬
1104,outfit,n.全套装备；全套服装
1105,transcendent,adj.卓越的，出众的
1106,bland,adj.平淡的，乏味的；清淡的；沉稳的
1107,sidewalk,n.人行道
1108,moor,n.旷野，荒野；沼泽
1109,recline,v.向后倚靠，斜倚
1110,longevity,n.长寿；寿命
1111,ivory,n.象牙；象牙制品；象牙色，乳白色
1112,desolate,adj.荒凉的，荒无人烟的；孤独寂寞的
1113,section,n.部分，章节；区域，部门；路段；断面
1114,wrench,v.猛拉，猛扭，猛拧；扭伤；使痛苦
1115,intern,vt.拘禁，软禁
1116,decay,n.腐烂；衰退
1117,gospel,n.准则，信条；绝对真理；［G-］福音；福音音乐；训示
1118,uproot,v.根除；（使）离开家园
1119,guideline,n.（复数）指导方针，准则，行动纲领
1120,extend,"v.伸出, 伸开; 延长; 扩展; 扩大; 推进; 提供; 给予; 使竭尽全力; 达到"
1121,renovate,vt.修复；更新，翻新
1122,debatable,adj.成问题的；可争论的；未决定的
1123,legible,adj.清楚的；易读的
1124,hazel,n.榛树
1125,posthumous,adj.死后的，身后的
1126,deficient,adj.缺乏的，不足的；有缺点的，有缺陷的
1127,assail,vt.抨击，指责；猛攻；困扰
1128,sedentary,adj.久坐的，固定不动的；土生的，不迁徙的；沉积的
1129,grip,v.紧握; 紧抓; 咬住; 夹牢; 吸引住; 有吸引力
1130,husbandry,"n.畜牧, 饲养, 耕种, 农业"
1131,watercourse,n.水道，河道
1132,horde,n.一大群人；游牧部落
1133,benign,adj.（疾病）良性的；有利的；善良的，和蔼的
1134,deceptive,adj.欺骗性的，导致误解的
1135,obedience,n.服从，顺从
1136,hoe,n.锄头
1137,spearhead,n.先锋，前锋，先头部队
1138,tackle,"v.对付, 处理; (足球等比赛中)抢断, 铲断; 与某人交涉; 固定, 系住"
1139,predation,n.掠夺；掠食
1140,amenity,n.生活福利设施，便利设施；适意，愉快
1141,precautionary,adj.预防的
1142,cordial,"adj.热情友好的; 真心的, 由衷的"
1143,lounge,n.（机场等的）等候室；休息室；起居室
1144,hurl,v.用力投掷；大声责骂；呕吐
1145,yarn,n.纱，纱线；（尤指夸张的或编造的）故事
1146,certificate,n.证明；证书
1147,bedrock,n.基础，根基；基岩
1148,terrestrial,adj.陆地的，陆生的，陆栖的；地球的
1149,anticipate,v.预期；预料；预计
1150,allude,vi.暗指，影射，间接提到
1151,accessible,adj.易接近的；可得到的；可进入的
1152,proponent,n.支持者；倡导者
1153,meager,adj.不足的，贫乏的；消瘦的
1154,flamboyant,adj.艳丽的，绚丽夺目的；炫耀的
1155,squirrel,n.松鼠
1156,crescent,adj.新月形的；逐渐增强的
1157,vigor,n.活力，精力
1158,annex,v.附加; 附带; 并吞; 强占; 获得
1159,pollinate,vt.给…授粉
1160,reiterate,vt.反复说，重申
1161,rattle,v.（使）咔嗒作响；发出连续短促的高声；使紧张，使恐惧
1162,fertile,adj.肥沃的；富饶的；能生育的；可繁殖的；想象力丰富的
1163,landing,n.登陆；着陆，降落
1164,chivalrous,adj.有骑士精神的；（尤指对女人）彬彬有礼的，殷勤的
1165,oblivious,adj.遗忘的；未注意的，不知不觉的
1166,hive,v.（使）入蜂箱；群居
1167,shellfish,n.贝类，有壳的水生动物
1168,cerebral,adj.大脑的；理智的
1169,epitome,n.摘要，梗概；典型，典范
1170,immerse,v.使浸没在…；沉浸在…；（使）深陷于…
1171,monarchy,n.君主制；君主国
1172,predominant,adj.占优势的，占主导地位的；显著的；盛行的
1173,sodium,n.钠
1174,adamant,adj.坚定不移的，坚决的；固执的
1175,ascribe,v.归因于，归咎于
1176,fortuitous,adj.偶然的，意外的
1177,cylinder,n.圆柱体；圆筒状物；（发动机的）气缸
1178,intrigue,v.密谋；迷住
1179,centennial,n.百年纪念
1180,crusade,n.十字军（远征）；斗争，运动
1181,appease,vt.平息；安抚，抚慰；绥靖
1182,hemp,n.大麻（纤维）；由大麻制成的麻醉药
1183,monogamous,adj.一夫一妻制的；单配的
1184,recollection,n.记忆力；回忆，记忆；回想起来的事
1185,prospector,n.勘探者，采矿者
1186,cramped,adj.狭小的，狭窄的；受限制的；（字迹）密小难认的
1187,allot,vt.分配，配给，拨给
1188,infatuate,vt.使迷恋；使糊涂
